year,field,scale,tech_type,revenue,employees,researchers,rd_cost
2020,적응,기타,전체,17750438.0,43915.0,15384.0,1700429.0
2021,적응,기타,전체,1585523.0,7943.0,3190.0,317721.0
2022,적응,기타,전체,1968392.0,6613.0,2969.0,202490.0
2019,적응,기타,전체,635749.0,1876.0,1156.0,77249.0
2020,적응,기타,전체,1035162.0,3518.0,1963.0,69051.0
2021,적응,기타,전체,10886872.0,9634.0,2431.0,389438.0
2022,적응,기타,전체,1638739.0,14332.0,3674.0,644480.0
2019,적응,기타,전체,4301301.0,9822.0,2133.0,646582.0
2020,적응,기타,전체,450574.0,1516.0,444.0,61957.0
2021,적응,기타,전체,261322.0,200.0,90.0,4233.0
2022,적응,기타,전체,239931.0,510.0,133.0,6600.0
2019,적응,기타,전체,2616954.0,4864.0,434.0,51333.0
2020,적응,기타,전체,732521.0,2733.0,1032.0,522459.0
2021,적응,기타,전체,3722596.0,5421.0,1395.0,597242.0
2022,적응,기타,전체,522585.0,1893.0,477.0,121874.0
2019,적응,기타,전체,182436.0,474.0,103.0,4242.0
2020,적응,기타,전체,135205.0,87.0,40.0,2402.0
2021,적응,기타,전체,95554.0,423.0,101.0,1663.0
2022,적응,기타,전체,2712690.0,1702.0,236.0,25000.0
2019,적응,기타,전체,74126.0,842.0,439.0,442062.0
2020,적응,기타,전체,3911818.0,9670.0,3060.0,412071.0
2021,적응,기타,전체,342996.0,2356.0,1014.0,102314.0
2022,적응,기타,전체,287245.0,1111.0,548.0,21673.0
2019,적응,기타,전체,91158.0,142.0,94.0,5693.0
2020,적응,기타,전체,228482.0,614.0,96.0,13222.0
2021,적응,기타,전체,2722050.0,3173.0,423.0,63442.0
2022,적응,기타,전체,239887.0,2274.0,884.0,205727.0
2019,적응,기타,전체,9495126.0,11100.0,3820.0,315267.0
2020,적응,기타,전체,968784.0,3281.0,1219.0,73334.0
2021,적응,기타,전체,1026010.0,1822.0,760.0,49511.0
2022,적응,기타,전체,486006.0,558.0,164.0,16639.0
2019,적응,기타,전체,674267.0,250.0,114.0,3383.0
